"","YEAR","PID","CLASS_TYPE","AREA","FRAC","PROX","ENN","CLASS_NAME"
"134",2023,1287,"cls_3",0.8166,1.0473,31281.9427,63.9,"Pasture"
"135",2023,1294,"cls_3",0.1021,1,8852.5758,71.4424,"Pasture"
"136",2023,1309,"cls_3",2.2458,1.0318,17409.1969,63.9,"Pasture"
"137",2023,1313,"cls_3",1.1229,1.0402,18270.1846,71.4424,"Pasture"
"138",2023,1319,"cls_3",5.5123,1.1045,3649.5659,63.9,"Pasture"
"139",2023,1320,"cls_3",0.1021,1,85451.5013,63.9,"Pasture"
"140",2023,1326,"cls_3",2.1437,1.1565,3697.8028,159.75,"Pasture"
"141",2023,1347,"cls_3",0.1021,1,3401.9797,71.4424,"Pasture"
"142",2023,1351,"cls_3",4340.3501,1.2485,124517.0898,63.9,"Pasture"
"143",2023,1355,"cls_3",0.8166,1.1477,10558.1248,63.9,"Pasture"
"144",2023,1367,"cls_3",0.1021,1,2076.8814,63.9,"Pasture"
"145",2023,1370,"cls_3",0.7146,1.1197,4113.7482,71.4424,"Pasture"
"146",2023,1385,"cls_3",0.1021,1,8640.9544,71.4424,"Pasture"
"147",2023,1401,"cls_3",3.879,1.0608,80631.8149,63.9,"Pasture"
"148",2023,1408,"cls_3",11456.3644,1.2836,121191.2996,63.9,"Pasture"
"149",2023,1412,"cls_3",1.5312,1.053,11085.9574,63.9,"Pasture"
"150",2023,1414,"cls_3",0.2042,1.0909,23943.5733,71.4424,"Pasture"
"151",2023,1438,"cls_3",0.1021,1,8438.5453,71.4424,"Pasture"
"152",2023,1440,"cls_3",0.3062,1.0358,1139.9119,71.4424,"Pasture"
"153",2023,1447,"cls_3",0.5104,1.105,1141.7762,71.4424,"Pasture"
"154",2023,1450,"cls_3",11.9434,1.1533,1140.6638,90.3682,"Pasture"
"155",2023,1455,"cls_3",0.3062,1.0358,645.5693,71.4424,"Pasture"
"156",2023,1469,"cls_3",0.9187,1.0338,11029.4452,63.9,"Pasture"
"157",2023,1474,"cls_3",0.2042,1.0155,18512.4315,71.4424,"Pasture"
"158",2023,1487,"cls_3",0.4083,1.0975,11615.1184,63.9,"Pasture"
"159",2023,1490,"cls_3",15.7204,1.0667,12510.4796,63.9,"Pasture"
"160",2023,1498,"cls_3",0.1021,1,156.054,71.4424,"Pasture"
"161",2023,1499,"cls_3",0.1021,1,462.5794,71.4424,"Pasture"
"162",2023,1505,"cls_3",3.6749,1.1471,8176.8285,63.9,"Pasture"
"163",2023,1509,"cls_3",0.2042,1.0155,152.7598,71.4424,"Pasture"
"164",2023,1513,"cls_3",0.3062,1.0914,10959.8561,63.9,"Pasture"
"165",2023,1521,"cls_3",2.0416,1.215,1948.3614,71.4424,"Pasture"
"166",2023,1558,"cls_3",1.4291,1.0386,62388.7071,71.4424,"Pasture"
"167",2023,1562,"cls_3",0.7146,1.0631,8925.8816,71.4424,"Pasture"
"168",2023,1593,"cls_3",3.0624,1.0962,31329.0522,63.9,"Pasture"
"169",2023,1599,"cls_3",11.6371,1.12,34590.6748,63.9,"Pasture"
"170",2023,1602,"cls_3",0.4083,1.0975,8659.0734,71.4424,"Pasture"
"171",2023,1625,"cls_3",1.0208,1.0509,6922.9397,115.1974,"Pasture"
"172",2023,1635,"cls_3",0.8166,1.0473,33428.065,63.9,"Pasture"
"173",2023,1637,"cls_3",0.2042,1.0909,28402.6986,63.9,"Pasture"
"174",2023,1703,"cls_3",0.3062,1.0914,32962.2287,63.9,"Pasture"
"175",2023,1745,"cls_3",0.1021,1,28246.1033,63.9,"Pasture"
"176",2023,1766,"cls_3",0.8166,1.0473,565.526,249.5375,"Pasture"
"177",2023,1771,"cls_3",1.0208,1.1199,2150.9328,303.1043,"Pasture"
"178",2023,1775,"cls_3",3.2666,1.0784,9190.0364,186.2989,"Pasture"
"179",2023,1777,"cls_3",0.1021,1,9137.6821,71.4424,"Pasture"
"180",2023,1794,"cls_3",0.1021,1,23449.0452,71.4424,"Pasture"
"181",2023,1800,"cls_3",0.2042,1.0155,14883.4737,63.9,"Pasture"
"182",2023,1810,"cls_3",0.8166,1.0473,1105.3771,294.5644,"Pasture"
"183",2023,1824,"cls_3",0.1021,1,11021.5986,71.4424,"Pasture"
"184",2023,1836,"cls_3",1.1229,1.0402,12487.3871,159.75,"Pasture"
